First Name,Last Name,Phone Number,Username,Password,User Type

John,Doe,096229223553,doej,4f44e1097f4ae3c478809fe7b77d3fc2ba146306470f1c0ed6f8ea618e29bd09,Adminstrator
Jane,Doe,094739333,doejane,1140f9713594a8903b6ab94af8d172d2f87e6fbacdc01c54642ab3892dd2a85f,Zaposlenik
Andrea,ŠImac,096382022,asimac,b782f4794b3d397ef82cb02e1a50ffa94d6d5a7b32553c9ee7ff0b555a7f1724,Administrator
Andrea,Blažic,096334382022,asimac2,a910c0aa3d3ff41b2c644b6208638662b2afcdf0815752b1d8f12cdc3f653263,Administrator
ImeAdmin,PrezimeAdmin,0000000000,newadmin,h,Administrator
Hrvoje,Horvat,092932323,hhorvat,68ca1576d2d233d155c247f4a4deea0c36d8f5d686ad54da5d8bbdcd8abacdcf,Korisnik
Marko,Blaz,0932637434,mblaz,813eb1f9f6c5e0dd3b95e9695ab1a20b1f1475e2619a46c5872617f9b96d1e0b,Zaposlenik
Jane,Doe,034874234,doejane2,c9003c9cebc1c8355f512cbeb69de07c3a97a7f09213b57612748fcaae0301d4,Korisnik
John,Doe,34234287687,doej34,25684581543e66b3f6e2161d12a67947c139e52bec9f8382658614a82c2b6daf,Administrator
newadmin2,93c268881ce26b7002cd061640253a05eb3fdd6263944093b56054946babe34c,Administrator,ImeAdmin2,PrezimeAdmin2,0000000000
newadmin3,64006d12d3bd429491715eb4abd7f5eb2fde3982c4ba32033170f83ece16ed26,Administrator,ImeAdmin3,PrezimeAdmin3,123456789
admin,admin,123456789,adminadmin,668eb3385a370fb9b2c3d478dc8b07fc5fe1a59600ad0b9581567682a6873101,Administrator
